Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
lblContextActionСMix,UI,Item Context Menu,,,Make,,,,,,,,,,Сварить,,,,
lblCategoryFob_coffeeMaker,UI,Tooltip,,,Coffee Maker,,,,,,,,,,Кофемашина,,,,
fob_coffeeMaker,blocks,Workstation,,,Coffee Maker,,,,,,,,,,Кофемашина,,,,
fob_coffeeMakerDesc,blocks,Workstation,,,A Coffee Maker will help you cook some strong coffee.,,,,,,,,,,"С помощью кофемашины можно сварить себе немножечко крепкого кофе.",,,,
fob_coffeeMakerSchematic,blocks,Workstation,,,Coffee Maker Recipe,,,,,,,,,,Рецепт кофемашины,,,,
fob_drinkJarEspresso,items,Food,,,Espresso,,,,,,,,,,Эспрессо,,,,
fob_drinkJarEspressoDesc,items,Food,,,Espresso is much stronger than regular coffee. \n\n It has a small volume.,,,,,,,,,,Эспрессо - гораздо крепче обычного кофе.\n\n Имеет небольшой обьем.,,,,
fob_drinkJarDoppio,items,Food,,,Doppio,,,,,,,,,,Допио,,,,
fob_drinkJarDoppioDesc,items,Food,,,"A double shot of Espresso is a double shot of energy! \n\n Be careful, it can be harmful to your health.",,,,,,,,,,"Двойная порция Эспрессо - двойная порция бодрости!\n\n Осторожнее, может вредить здоровью.",,,,
fob_drinkJarTripplo,items,Food,,,Tripplo,,,,,,,,,,Трипло,,,,
fob_drinkJarTripploDesc,items,Food,,,"Triple espresso! Super energy boost! \n\n Warning, don't overuse this!",,,,,,,,,,"Тройная порция Эспрессо! Супер заряд бодрости!\n\n Внимание!Не стоит злоупотреблять этим!",,,,
fob_drinkJarRistretto,items,Food,,,Ristretto,,,,,,,,,,Ристретто,,,,
fob_drinkJarRistrettoDesc,items,Food,,,"Ristretto, very strong coffee. Strongly invigorates and affects health.",,,,,,,,,,"Ристретто, очень крепкий кофе. Сильно бодрит и бьет по здоровью.",,,,
fob_drinkJarLungo,items,Food,,,Lungo,,,,,,,,,,Лонг,,,,
fob_drinkJarLungoDesc,items,Food,,,"Lungo, invigorates like an Espresso, but the effect lasts longer.",,,,,,,,,,"Лонг, бодрит как Эспрессо, но эффект длится дольше.",,,,
fob_drinkJarFredo,items,Food,,,Fredo,,,,,,,,,,Фредо,,,,
fob_drinkJarFredoDesc,items,Food,,,"Fredo, invigorates and helps to cool in the heat.",,,,,,,,,,"Фредо, бодрит и помогает охладиться в жару.",,,,
fob_drinkJarIrish,items,Food,,,Irish Coffee,,,,,,,,,,Айриш Кофе,,,,
fob_drinkJarIrishDesc,items,Food,,,Irish Coffee helps to cheer up in cool weather.,,,,,,,,,,Айриш Кофе поможет всбодриться в прохладную погоду.,,,,
fob_drinkJarCorreto,items,Food,,,Correto,,,,,,,,,,Коретто,,,,
fob_drinkJarCorretoDesc,items,Food,,,"Corretto is tasty, strong and invigorating. What else do you need on cold winter nights?",,,,,,,,,,"Корретто - вкусный, крепкий и бодрящий. Что еще нужно холодными зимними ночами?",,,,
fob_drinkJarRaf,items,Food,,,Raf,,,,,,,,,,Раф,,,,
fob_drinkJarRafDesc,items,Food,,,"Raf - not very invigorating, but can save in severe frosts.",,,,,,,,,,"Раф - не сильно бодрит, но может спасти при сильных морозах.",,,,
fob_coffeeMakerTip,Journal Tip,,,,Coffee Machine - can make some coffee for you.,,,,,,,,,,Кофемашина - поможет вам приготовить немного вкусного и аротного кофе.,,,,
fob_coffeeMakerTip_title,Journal Tip,,,,Coffee Machine,,,,,,,,,,Кофемашина,,,,

